2017-02-27 18:18:42 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:42 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-02-27 18:18:42 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:42 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:42 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:42 install ncurses-base:all <none> 5.9+20140913-1
2017-02-27 18:18:42 status half-installed ncurses-base:all 5.9+20140913-1
2017-02-27 18:18:43 status unpacked ncurses-base:all 5.9+20140913-1
2017-02-27 18:18:43 status unpacked ncurses-base:all 5.9+20140913-1
2017-02-27 18:18:43 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2017-02-27 18:18:43 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-27 18:18:43 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-27 18:18:43 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-27 18:18:44 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-27 18:18:44 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:44 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:44 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:44 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-27 18:18:44 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:45 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:45 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:45 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-02-27 18:18:45 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-27 18:18:46 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2017-02-27 18:18:46 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-27 18:18:47 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-27 18:18:47 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-27 18:18:47 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-02-27 18:18:47 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:47 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:47 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:51 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:51 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:51 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:18:52 install libprocps3:amd64 <none> 2:3.3.9-9
2017-02-27 18:18:52 status half-installed libprocps3:amd64 2:3.3.9-9
2017-02-27 18:18:52 status unpacked libprocps3:amd64 2:3.3.9-9
2017-02-27 18:18:52 status unpacked libprocps3:amd64 2:3.3.9-9
2017-02-27 18:18:52 install procps:amd64 <none> 2:3.3.9-9
2017-02-27 18:18:52 status half-installed procps:amd64 2:3.3.9-9
2017-02-27 18:18:53 status unpacked procps:amd64 2:3.3.9-9
