2015-04-27 06:54:53 install initscripts:amd64 <none> 2.88dsf-41ubuntu6
2015-04-27 06:54:53 status half-installed initscripts:amd64 2.88dsf-41ubuntu6
2015-04-27 06:54:53 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2015-04-27 06:54:53 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2015-04-27 06:54:53 install insserv:amd64 <none> 1.14.0-5ubuntu2
2015-04-27 06:54:53 status half-installed insserv:amd64 1.14.0-5ubuntu2
2015-04-27 06:54:54 status unpacked insserv:amd64 1.14.0-5ubuntu2
2015-04-27 06:54:54 status unpacked insserv:amd64 1.14.0-5ubuntu2
2015-04-27 06:54:54 install iproute2:amd64 <none> 3.12.0-2
2015-04-27 06:54:54 status half-installed iproute2:amd64 3.12.0-2
2015-04-27 06:54:54 status unpacked iproute2:amd64 3.12.0-2
2015-04-27 06:54:54 status unpacked iproute2:amd64 3.12.0-2
2015-04-27 06:54:54 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2015-04-27 06:54:54 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2015-04-27 06:54:54 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2015-04-27 06:54:54 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2015-04-27 06:54:54 install kmod:amd64 <none> 15-0ubuntu6
2015-04-27 06:54:54 status half-installed kmod:amd64 15-0ubuntu6
2015-04-27 06:54:55 status unpacked kmod:amd64 15-0ubuntu6
2015-04-27 06:54:55 status unpacked kmod:amd64 15-0ubuntu6
2015-04-27 06:54:55 install libacl1:amd64 <none> 2.2.52-1
2015-04-27 06:54:55 status half-installed libacl1:amd64 2.2.52-1
2015-04-27 06:54:55 status unpacked libacl1:amd64 2.2.52-1
2015-04-27 06:54:55 status unpacked libacl1:amd64 2.2.52-1
2015-04-27 06:54:55 install libattr1:amd64 <none> 1:2.4.47-1ubuntu1
2015-04-27 06:54:55 status half-installed libattr1:amd64 1:2.4.47-1ubuntu1
2015-04-27 06:54:55 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2015-04-27 06:54:55 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2015-04-27 06:54:55 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2015-04-27 06:54:55 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2015-04-27 06:54:55 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2015-04-27 06:54:55 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2015-04-27 06:54:56 install libaudit1:amd64 <none> 1:2.3.2-2ubuntu1
2015-04-27 06:54:56 status half-installed libaudit1:amd64 1:2.3.2-2ubuntu1
2015-04-27 06:54:56 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2015-04-27 06:54:56 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2015-04-27 06:54:56 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu20
2015-04-27 06:54:56 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu20
2015-04-27 06:54:56 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2015-04-27 06:54:56 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2015-04-27 06:54:56 install libbz2-1.0:amd64 <none> 1.0.6-5
2015-04-27 06:54:56 status half-installed libbz2-1.0:amd64 1.0.6-5
2015-04-27 06:54:56 status unpacked libbz2-1.0:amd64 1.0.6-5
2015-04-27 06:54:56 status unpacked libbz2-1.0:amd64 1.0.6-5
2015-04-27 06:54:57 install libc-bin:amd64 <none> 2.19-0ubuntu6
2015-04-27 06:54:57 status half-installed libc-bin:amd64 2.19-0ubuntu6
2015-04-27 06:54:57 status unpacked libc-bin:amd64 2.19-0ubuntu6
2015-04-27 06:54:57 status unpacked libc-bin:amd64 2.19-0ubuntu6
2015-04-27 06:54:58 upgrade libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2015-04-27 06:54:58 status half-configured libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:58 status unpacked libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:58 status half-installed libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:59 status half-installed libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:59 status unpacked libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:59 status unpacked libc6:amd64 2.19-0ubuntu6
2015-04-27 06:54:59 install libcap2:amd64 <none> 1:2.24-0ubuntu2
2015-04-27 06:54:59 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2015-04-27 06:54:59 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2015-04-27 06:54:59 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2015-04-27 06:54:59 install libcgmanager0:amd64 <none> 0.24-0ubuntu5
2015-04-27 06:54:59 status half-installed libcgmanager0:amd64 0.24-0ubuntu5
2015-04-27 06:54:59 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2015-04-27 06:54:59 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2015-04-27 06:55:00 install libcomerr2:amd64 <none> 1.42.9-3ubuntu1
2015-04-27 06:55:00 status half-installed libcomerr2:amd64 1.42.9-3ubuntu1
2015-04-27 06:55:00 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2015-04-27 06:55:00 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2015-04-27 06:55:00 install libdb5.3:amd64 <none> 5.3.28-3ubuntu3
2015-04-27 06:55:00 status half-installed libdb5.3:amd64 5.3.28-3ubuntu3
2015-04-27 06:55:00 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2015-04-27 06:55:00 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2015-04-27 06:55:00 install libdbus-1-3:amd64 <none> 1.6.18-0ubuntu4
2015-04-27 06:55:00 status half-installed libdbus-1-3:amd64 1.6.18-0ubuntu4
2015-04-27 06:55:00 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2015-04-27 06:55:01 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2015-04-27 06:55:01 install libdebconfclient0:amd64 <none> 0.187ubuntu1
2015-04-27 06:55:01 status half-installed libdebconfclient0:amd64 0.187ubuntu1
2015-04-27 06:55:01 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2015-04-27 06:55:01 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2015-04-27 06:55:01 install libdrm2:amd64 <none> 2.4.52-1
2015-04-27 06:55:01 status half-installed libdrm2:amd64 2.4.52-1
2015-04-27 06:55:01 status unpacked libdrm2:amd64 2.4.52-1
2015-04-27 06:55:01 status unpacked libdrm2:amd64 2.4.52-1
2015-04-27 06:55:01 install libgcc1:amd64 <none> 1:4.9-20140406-0ubuntu1
